Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Global,1990,Depression,Depressive disorders,Both,All ages,3.31%,2.96%,3.69%,GBD 1990,Mental Health
Republic of Indonesia,1990,Depression,Depressive disorders,Both,All ages,2.08%,1.83%,2.35%,GBD 1990,Mental Health
Global,1991,Depression,Depressive disorders,Both,All ages,3.36%,3.00%,3.75%,GBD 1991,Mental Health
Republic of Indonesia,1991,Depression,Depressive disorders,Both,All ages,2.09%,1.84%,2.36%,GBD 1991,Mental Health
Global,1992,Depression,Depressive disorders,Both,All ages,3.41%,3.05%,3.80%,GBD 1992,Mental Health
Republic of Indonesia,1992,Depression,Depressive disorders,Both,All ages,2.11%,1.86%,2.38%,GBD 1992,Mental Health
Global,1993,Depression,Depressive disorders,Both,All ages,3.45%,3.09%,3.84%,GBD 1993,Mental Health
Republic of Indonesia,1993,Depression,Depressive disorders,Both,All ages,2.12%,1.87%,2.39%,GBD 1993,Mental Health
Global,1994,Depression,Depressive disorders,Both,All ages,3.48%,3.12%,3.87%,GBD 1994,Mental Health
Republic of Indonesia,1994,Depression,Depressive disorders,Both,All ages,2.14%,1.88%,2.41%,GBD 1994,Mental Health
Global,1995,Depression,Depressive disorders,Both,All ages,3.50%,3.15%,3.89%,GBD 1995,Mental Health
Republic of Indonesia,1995,Depression,Depressive disorders,Both,All ages,2.15%,1.90%,2.43%,GBD 1995,Mental Health
Global,1996,Depression,Depressive disorders,Both,All ages,3.52%,3.17%,3.91%,GBD 1996,Mental Health
Republic of Indonesia,1996,Depression,Depressive disorders,Both,All ages,2.17%,1.92%,2.46%,GBD 1996,Mental Health
Global,1997,Depression,Depressive disorders,Both,All ages,3.53%,3.18%,3.93%,GBD 1997,Mental Health
Republic of Indonesia,1997,Depression,Depressive disorders,Both,All ages,2.20%,1.94%,2.48%,GBD 1997,Mental Health
Global,1998,Depression,Depressive disorders,Both,All ages,3.54%,3.19%,3.93%,GBD 1998,Mental Health
